HolderAddress,Balance
0xeFb5689b4aCD1cbFE702bF1a20294833c5106fF8,3.0
0xEe6560b996062DeAA3e6571aA2042F9037171e1e,3.0
0xE7E502E6679F1a74c6ea3dbf14e96D22E1f959bb,3.0
0xE3e318EDC67F1f1f418182f6DBF758ef754417FC,3.0
0xdfdeA862f75659D8d5cE9d598A2be194013d2bfF,3.0
0xDF743b9B582e10F02489e0FBEd6fD9CEF191d736,3.0
0xDEe550d9dA275eb8329cB0183CFA44Bf199D96b1,3.0
0xdE5f01e1a1674B27d97b838F499038e7db88989f,3.0
0xde14bf26D87B04687f8c72EA2C6e73795249f3Ff,3.0
0xDd31dB93082a3A71b98D37ba26230f8734Bd63C3,3.0
0xdD1F6B9653B6685fe83499F032fDf8ccF5979f29,3.0
0xdccdAe2751ECd473FFCAE2C671C0E54dFdCBbE45,3.0
0xDc0e734AE36F960445b5F38E4ae14133eb47cC7d,3.0
0xdb9dd077565955F4A36148D462d094308002b995,3.0
0xda28cecb0dF5837Bf2aAcc609Aa1f8e6800ba034,3.0
0xD59046964c42156aD2AC8E6924aBD125190BEbeb,3.0
0xD58d8Bd42bCD464ca1A739396360Cf89e05e0Cae,3.0
0xd3C45a5B9AEa1CD78c7a2527012BC4ACEC9C8050,3.0
0xD15D6c4f8739F8F2dAb8D4496eD7ECd5847B13BE,3.0
0xCF31BF0a862637A632B7282Bc3533978D9923e50,3.0
0xcD0826d2Cfa5D3693D62A527037DCc6B01EdDD75,3.0
0xCab3DE8ABAf935cB00A21B9B2dacC118bE815BaD,3.0
0xcA713B511598Dca330B993AE747b1E1B699A4022,3.0
0xC8D9B774F920382e9b69900C9506e7126D3Ee899,3.0
0xc7b1192F82B161Afcb2F12e662FD3E646d42b763,3.0
0xc6eAf6d86BFd7105851487143037af2837bB8a92,3.0
0xC6306b5624957614323db2D213a20c6869F4dFC2,3.0
0xc2a23be63C14A883886Ae097C7040796F0875d93,3.0
0xC1ECcB200494A359AAFC05873b51D295F1525078,3.0
0xBd38BC31a67C64B63d57FC158F3145454149c6BF,3.0
0xBd1FBf2856E9479719645e54A41bE026535A318E,3.0
0xbcE31Af175DfC6bE46d93665AB2022eC9420aC57,3.0
0xbaC26Cc37e67A11BECD5ebc27e8F2aA5B41829Fd,3.0
0xbAba775A0400A5E442335CEaa4820eDb1DeD8f73,3.0
0xB9B031325c39c2209FaF51bEa23899C231FBf25e,3.0
0xb2d866297dbC7C7d8Ad045c05AFB48A95f28fB3C,3.0
0xB19b607D5Fc4Ac3266D47E0ca980bA9095ef0883,3.0
0xB11a37F5C439B8859CE78CceF95e1De0b9Edca53,3.0
0xACE8896771d4b247a2AAf401B1d00E9d43236dd5,3.0
0xac1E7bEaE9FcF9B4f294CD534cd0b1aE1eF44793,3.0
0xac18C73423d43Ad14630C32491Ec0DB14E2E6148,3.0
0xa8Ad329a1Ffa25f4a5e7a6B78A004c983f081ADD,3.0
0xA764B14e9d588dCf8C668965a53B02168553E108,3.0
0xa761bfF78940717961605B937E2994ee0e443C17,3.0
0xA6815971A7E4D608D8d3B4B5996A0de397A9c92B,3.0
0x9E66e5316BE32f76b3B66d7785d71DFAAa2c723B,3.0
0x9e1271F209d786197B3f92718901e5CaD4086A85,3.0
0x9d63552012D073BEBC4Cf8Ea0630A12061154BFC,3.0
0x9CE3baAD375acedaAA730DC5157f99A35c74B318,3.0
0x949D51d34817A0F16083C9eaBED70D4Bd7dE7277,3.0
0x93B6a8602A374a89A392Bc0Cd659F05cD7056d2B,3.0
0x9349ea6Cd2AF82bB9cA46EAbED4E54522Bf6e6cf,3.0
0x903435Bb40a3955ABa055488321D0016525F1C2b,3.0
0x8B190A162E643760D91A02FB35Dcec858C4E51DC,3.0
0x8959F0aa16046A1ae69d69F04F05aefF7a82E268,3.0
0x86D5aFD1a396BBA0927Ec985fD33A87D42c8ECf3,3.0
0x8683A57aE94Ea5dE8E215754A07EdFD9B86e45Fe,3.0
0x8426DFa3006bB777c78b5586A593ac821D971cbB,3.0
0x821F430fE427eFd4b263D9955Eb39dF550dd3e82,3.0
0x81D920b2279f046D8dbf7b798E1Fb5773402c641,3.0
0x81824494f27640bBcb7698E141C1068126EDd552,3.0
0x7F740ddb8414Ad385b66652bF0D7B2b07AC5c89F,3.0
0x7EE4191B0ad441f9F8553f49eF6923032eff2835,3.0
0x7eBabCBbB3c3AFC3ec944783d6306b80BB5f87fB,3.0
0x7BF1E657FDB7410C83fF70034B15947D95cBF675,3.0
0x7aDA3Cd534DF8Dc4121c770555B56CA8E528619e,3.0
0x7774aedC316151280Ae0a71E13e9317F9A6aEd59,3.0
0x770d6DC750d50c6a1E237f9a6F0fA75acF7546aC,3.0
0x76Ba8674F08B13d6F78D74AA00c594cC9eD965D5,3.0
0x73cDdF71b29954f393afaB3E577370e7A4C5fB4B,3.0
0x7102BDdb8c8f973Cad87Ac914592ecDE3425F5f1,3.0
0x70eCe45cDc64A768f936Ccb8aC851578251363e3,3.0
0x705a1875d774fd3b419Bb93fCF3F1f51b8244E2d,3.0
0x6e4808056Cbd3a8A47813AF918E325D78b99F17f,3.0
0x6d2f47942335Ac0Ed5823C19aC9bFfD88383BE17,3.0
0x6b100D45Afa078f5babA7849562780896b051CC6,3.0
0x68a98d4825c8681716A5Ef65e10692325F73Cfc0,3.0
0x670b66140c921a0e57094dbdfaac4c76FE342802,3.0
0x63eC40ffD185e7DE69f0922478f3Ad98cbeeDE9A,3.0
0x63244b5F1EbCb999Ea012da652DFfee6653Bf8F5,3.0
